customer_Id,Recency,Frequency,Monetary,Cluster
266783,366,3,7107.36,3
266784,547,1,4279.665,1
266785,373,4,19152.965,2
266788,478,2,3412.24,0
266794,237,8,23739.82,2
266799,150,1,448.63,0
266805,56,1,4623.32,0
266806,85,3,5223.335,3
266807,423,3,4457.57,3
266809,220,2,2781.285,0
266810,360,4,13454.48,2
266812,892,2,1256.3850000000002,1
266813,32,1,1037.595,0
266814,342,1,6906.25,0
266815,456,1,3549.26,0
266816,329,3,8558.225,3
266817,456,3,3102.84,0
266818,954,1,1293.955,1
266819,337,1,3769.155,0
266821,524,3,2183.48,0
266822,131,6,18841.355,2
266823,188,2,7831.135,3
266824,388,2,1759.1599999999999,0
266825,56,2,1469.65,0
266827,949,1,1619.93,1
266829,272,1,3259.75,0
266830,300,2,5085.21,0
266833,770,2,2134.86,1
266835,367,1,709.41,0
266836,984,2,8010.145,1
266841,34,2,4405.635,0
266842,575,2,1770.21,1
266843,1008,1,1351.415,1
266844,314,2,9559.355,3
266845,915,2,2251.9900000000002,1
266846,114,3,14418.04,3
266847,428,1,406.64,0
266849,1097,2,12713.025000000001,1
266852,763,2,1646.45,1
266853,26,1,2545.92,0
266854,577,3,6152.64,3
266855,96,3,6797.96,3
266856,635,4,10622.365,3
266857,54,4,8711.82,3
266858,892,1,654.16,1
266861,278,1,5502.9,0
266862,211,3,5562.57,3
266863,1,3,4200.105,3
266864,453,2,6469.775,0
266865,1010,2,7817.875,1
266866,362,2,2819.96,0
266867,333,2,6946.030000000001,0
266870,694,1,2085.135,1
266872,817,1,3507.27,1
266875,419,2,5347.095,0
266878,89,4,12998.115,2
266881,708,2,1916.0700000000002,1
266882,54,1,2302.82,0
266883,158,6,12736.23,2
266885,978,1,1074.06,1
266886,300,1,2143.7,0
266887,243,2,7560.41,3
266888,85,3,10049.975,3
266889,271,1,2532.66,0
266891,575,1,2850.9,1
266892,428,1,1084.005,0
266895,266,2,6273.085,0
266896,223,3,7272.005,3
266897,755,1,540.345,1
266900,665,2,1911.65,1
266901,90,3,4994.599999999999,3
266902,725,2,4435.47,1
266903,240,2,8539.44,3
266904,668,3,3436.5499999999997,1
266906,115,4,6898.515,3
266907,489,1,1720.485,0
266910,125,4,8347.17,3
266916,242,3,11467.689999999999,3
266917,56,3,10750.545,3
266918,25,1,4578.015,0
266919,335,2,8276.45,3
266920,635,2,8874.255000000001,1
266921,345,1,3817.775,0
266922,584,1,3186.82,1
266923,64,5,10916.295,2
266927,845,1,467.415,1
266929,509,1,3752.58,1
266930,672,2,7111.780000000001,1
266931,796,3,9148.295,1
266935,119,3,3064.165,0
266936,487,3,15090.985,3
266937,144,3,4871.945,3
266939,215,4,10759.385,3
266940,122,2,5123.885,0
266941,975,1,4038.775,1
266942,127,4,18215.925000000003,2
266943,550,2,2201.16,1
266944,131,2,9993.619999999999,3
266945,280,5,14193.725,2
266950,461,3,7442.175,3
266952,221,3,14117.48,3
266953,266,3,18002.66,2
266956,370,1,3686.28,0
266957,281,1,8143.85,0
266958,91,2,4972.5,0
266959,247,3,7815.665,3
266960,454,3,6933.875,3
266966,118,3,10552.75,3
266972,617,2,9063.21,1
266974,28,3,6015.62,3
266975,33,2,9486.425,3
266976,223,1,671.84,0
266978,429,1,469.625,0
266982,517,1,116.025,1
266986,274,2,5852.08,0
266987,37,3,19559.605,2
266989,92,1,404.43,0
266990,274,2,3359.2,0
266991,520,1,1034.28,1
266992,387,4,7416.76,3
266993,23,1,2751.45,0
266997,175,3,12833.47,3
266998,816,2,1553.63,1
266999,451,1,4863.105,0
267000,249,6,24524.370000000003,2
267001,34,1,4687.41,0
267002,342,5,4139.33,3
267004,85,1,335.92,0
267005,512,3,7836.66,3
267010,481,2,8939.45,3
267012,486,1,3673.02,0
267014,89,4,14884.35,2
267015,243,3,10263.24,3
267016,116,3,4936.035,3
267017,213,4,10061.025,3
267018,271,2,2267.46,0
267019,97,2,3033.225,0
267020,219,4,9690.85,3
267021,212,2,6960.395,0
267022,219,1,575.705,0
267023,246,3,5719.4800000000005,3
267024,273,6,11252.215,2
267025,483,3,3207.815,0
267028,495,2,7750.47,3
267030,617,3,3347.045,1
267032,489,1,716.04,0
267033,272,2,5592.405,0
267034,339,2,9420.125,3
267037,576,4,10423.465,3
267042,214,3,3089.58,0
267043,192,3,10468.77,3
267044,913,1,5337.15,1
267045,67,4,9600.24,3
267046,912,1,3790.15,1
267048,946,2,7633.34,1
267049,153,3,7531.68,3
267051,372,3,3846.505,3
267053,94,3,6841.055,3
267056,524,2,5073.055,1
267058,2,4,11232.324999999999,2
267061,61,2,8870.939999999999,3
267066,852,2,7817.875,1
267067,693,1,867.425,1
267068,398,5,15231.32,2
267072,5,3,9803.56,3
267073,156,4,12929.605,2
267075,29,5,14534.065,2
